pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
1016.03817,597.826916,1020.791429,598.151015,1019.407997,598.294933
1016.03817,597.826916,1020.791429,598.151015,1019.407997,598.294933
1016.03817,597.826916,1020.791429,598.151015,1019.407997,598.294933
1015.788695,597.561183,1020.519375,598.236602,1019.206409,598.223287
1015.165006,596.431817,1019.771224,597.808669,1018.450457,597.506824
1014.478949,594.970283,1018.751019,596.439284,1017.896091,596.718715
1013.372793,593.3733,1017.730814,595.241072,1017.140138,595.357436
1012.811396,592.048711,1016.778623,594.385206,1015.628233,593.92451
1012.039475,590.547511,1015.622391,593.186994,1014.620295,592.706524
1011.197379,589.134617,1014.602186,591.903196,1013.612358,591.703476
1010.144759,587.721723,1013.581981,590.619397,1012.453231,590.413843
1009.653537,586.397135,1012.62979,589.849118,1011.697278,589.052563
1008.951791,584.895935,1011.677598,588.394146,1010.689341,587.834577
1008.109695,583.571347,1010.385339,587.367107,1009.681404,586.688236
1007.337774,582.246758,1009.29712,586.168895,1008.77426,585.398603
1006.636028,580.745558,1008.480956,585.655376,1007.665529,584.252263
1006.07463,579.597582,1007.324724,583.858058,1006.760619,583.484751
1005.653583,578.626217,1006.236505,582.831019,1005.788345,582.291011
1005.022011,577.389935,1005.148287,581.632807,1004.727683,580.971615
1004.741312,576.330264,1004.264109,580.691355,1003.932187,579.966361
1004.109741,575.535511,1002.699795,578.979623,1002.871525,578.709793
1003.407994,574.564147,1001.883631,577.610238,1002.076028,577.64171
1002.940553,573.124095,1000.93144,576.497613,1001.236338,576.322314
1002.311987,572.327141,1000.047262,575.470574,1000.264064,575.31706
1001.646719,571.500416,998.686989,574.871468,999.247596,574.12332
1000.648817,570.437482,997.734798,573.758843,998.186934,573.055237
999.872672,569.374549,996.85062,572.646217,997.303049,571.798669
999.207404,568.547823,995.769716,571.487683,996.507553,570.479273
998.320381,567.839201,994.58082,570.276575,995.491085,569.41119
997.433357,566.776268,993.561765,568.922982,994.518811,568.405936
996.76809,565.949542,992.599325,567.711873,993.590732,567.212197
995.991944,565.24092,991.410428,566.429523,992.706847,566.018457
995.104921,563.823676,990.391374,565.432139,991.734573,565.076031
993.885263,562.99695,989.598776,564.22103,990.673911,563.756635
993.330874,562.524535,988.40988,563.223646,989.922609,562.688552
992.554728,561.697809,987.380719,562.150644,988.906141,561.620469
991.778582,561.225394,986.453987,561.151067,988.06645,560.678043
990.891559,560.516772,985.350736,559.818296,986.975216,559.864484
989.671902,559.690047,984.512264,558.874251,986.355135,558.836029
989.006634,558.745217,983.585533,557.708077,NaN,NaN
988.008733,558.036595,982.747061,556.48637,NaN,NaN
987.010831,557.209869,981.59968,555.209132,NaN,NaN
986.123808,556.265039,980.496428,553.765298,NaN,NaN
985.45854,555.674521,980.010997,552.710188,NaN,NaN
983.655182,554.586992,979.040135,551.488481,NaN,NaN
982.780098,553.758447,978.025144,550.488904,NaN,NaN
981.029929,553.033471,977.098412,549.32273,NaN,NaN
980.349307,551.894223,976.432774,547.906654,NaN,NaN
979.085296,551.169246,975.57474,546.961894,NaN,NaN
978.015749,550.44427,974.678802,545.741836,NaN,NaN
976.460043,549.719293,973.774934,544.807308,NaN,NaN
975.390495,548.994317,972.776322,543.776048,NaN,NaN
973.737558,548.062205,971.885028,542.35417,NaN,NaN
972.765242,547.440796,970.89899,541.419642,NaN,NaN
971.112304,545.990844,970.405971,540.368297,NaN,NaN
969.751062,545.369435,969.995122,539.200137,NaN,NaN
968.487051,544.437323,969.091253,538.616056,NaN,NaN
