pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,46.553830,581.225538,NaN,NaN,NaN,NaN
48.316574,579.862125,46.553830,581.311500,47.053052,581.192632,NaN,NaN
48.316574,579.862125,46.553830,581.311500,47.020000,580.990000,NaN,NaN
48.353502,579.902270,46.619025,581.311500,47.097927,581.095063,NaN,NaN
48.353502,579.902270,46.749414,581.225538,47.030000,580.970000,NaN,NaN
48.796641,579.460673,47.205775,581.139576,47.232553,580.851140,NaN,NaN
49.202851,578.497191,47.466553,580.537839,47.636431,579.924233,NaN,NaN
49.572134,577.453417,48.183691,579.678216,48.219811,579.046111,NaN,NaN
49.941416,576.449789,48.640053,578.818592,48.668565,577.924066,NaN,NaN
50.236842,575.285581,48.835636,577.873007,49.296820,577.094728,NaN,NaN
50.273770,574.763694,49.487580,577.099346,49.465981,576.435151,NaN,NaN
50.679980,573.519195,49.813553,576.067798,50.039834,575.707333,NaN,NaN
51.012334,572.636003,50.465497,575.466061,50.422404,575.083490,NaN,NaN
51.381617,571.391504,50.921858,574.176626,50.900615,574.043751,NaN,NaN
51.566258,570.428021,51.508608,573.660852,51.187542,572.900038,NaN,NaN
51.677042,569.665264,52.160553,572.801229,51.761396,572.068247,NaN,NaN
51.824755,568.822216,52.877692,572.027568,52.335250,571.236455,NaN,NaN
51.861684,568.260184,53.399247,571.167944,52.717819,570.508638,NaN,NaN
52.083253,568.139749,54.116386,570.136396,53.335604,569.630690,NaN,NaN
52.009396,567.818588,54.637942,569.448697,53.874108,569.045276,NaN,NaN
52.711033,567.015685,55.550664,568.331187,54.367737,568.069584,NaN,NaN
53.240000,566.250000,55.746247,567.299639,54.771615,567.093893,NaN,NaN
53.548612,565.737241,56.202608,566.354053,55.669123,566.215771,NaN,NaN
54.071848,565.392284,56.593775,565.236543,56.117877,565.337649,NaN,NaN
54.438113,564.288421,57.115331,564.033070,56.387129,564.264389,NaN,NaN
54.699731,563.667498,57.310914,563.431334,56.574713,563.120540,NaN,NaN
55.524318,563.646573,57.832469,562.399786,57.305190,562.254237,NaN,NaN
56.119073,562.960383,58.288831,561.282275,57.637226,561.171358,NaN,NaN
56.416451,562.764329,58.484414,560.422652,58.035668,560.449439,NaN,NaN
57.085550,562.078140,58.940775,559.563028,58.367703,559.799712,NaN,NaN
57.754650,561.391951,59.201553,558.617443,58.551999,559.279456,NaN,NaN
58.349405,560.607735,59.527525,557.843782,59.030211,558.239717,NaN,NaN
58.572438,559.921545,59.983886,557.156083,59.125853,557.823821,NaN,NaN
59.241538,559.333383,60.114275,556.554347,59.795349,556.784082,NaN,NaN
60.133671,558.941275,60.701025,555.694723,60.082276,556.264212,NaN,NaN
60.282360,558.255086,61.157386,555.007025,60.656130,555.432421,NaN,NaN
61.174492,557.862977,61.769248,554.137950,61.038699,554.808578,NaN,NaN
61.843592,556.588626,62.215314,553.549788,61.134341,554.288708,NaN,NaN
62.587036,555.510329,62.512692,552.471490,61.899480,553.352943,NaN,NaN
63.404824,554.137950,62.958758,551.883328,62.377691,552.521152,NaN,NaN
64.296957,553.353734,63.107447,551.099112,62.664618,551.897308,NaN,NaN
64.966057,552.667544,63.404824,550.510950,62.951545,551.585386,NaN,NaN
65.412123,551.883328,63.999580,549.922787,63.334114,550.961543,NaN,NaN
65.858190,551.099112,64.519990,549.236598,64.099253,550.441673,NaN,NaN
66.601634,550.118841,65.114746,548.746463,64.682321,549.293689,NaN,NaN
67.270733,548.942517,65.412123,548.256328,65.499391,548.627505,NaN,NaN
67.716800,547.668165,66.006878,547.472111,65.916457,548.466169,NaN,NaN
68.088522,546.785922,66.229912,546.883949,66.630000,547.290000,NaN,NaN
68.757621,545.707625,66.675978,546.393814,67.620000,547.230000,NaN,NaN
69.278032,544.629327,67.270733,545.805652,NaN,NaN,NaN,NaN
69.724098,543.453003,67.716800,545.119462,NaN,NaN,NaN,NaN
70.021476,542.178651,68.311555,544.041165,NaN,NaN,NaN,NaN
70.497455,541.353709,68.980654,543.354976,NaN,NaN,NaN,NaN
71.136642,540.120083,69.501065,542.962867,NaN,NaN,NaN,NaN
71.136642,539.335867,70.170165,542.472732,NaN,NaN,NaN,NaN
70.987953,538.747705,70.690576,541.884570,NaN,NaN,NaN,NaN
71.218407,537.873513,71.136642,540.806273,NaN,NaN,NaN,NaN
71.218407,537.439699,71.731397,540.022056,NaN,NaN,NaN,NaN
71.465163,537.005885,72.326152,539.041786,NaN,NaN,NaN,NaN
71.711919,536.138257,72.585113,538.894038,NaN,NaN,NaN,NaN
71.958674,535.053723,73.262691,538.134629,NaN,NaN,NaN,NaN
72.287682,534.728362,73.601969,537.547857,NaN,NaN,NaN,NaN
72.781193,534.186095,74.324718,536.912534,NaN,NaN,NaN,NaN
73.110201,533.535374,74.726246,535.853663,NaN,NaN,NaN,NaN
73.521460,532.884653,75.055515,534.930400,NaN,NaN,NaN,NaN
73.521460,532.125479,75.550058,533.707747,NaN,NaN,NaN,NaN
74.014972,531.800118,76.168237,533.381707,NaN,NaN,NaN,NaN
74.179475,531.691665,76.724598,532.566606,NaN,NaN,NaN,NaN
74.672987,531.908572,77.095505,531.914524,NaN,NaN,NaN,NaN
75.248750,532.125479,77.713684,531.588484,NaN,NaN,NaN,NaN
75.495506,531.474758,78.455498,530.610362,NaN,NaN,NaN,NaN
75.906765,531.257851,79.197312,529.876771,NaN,NaN,NaN,NaN
76.482528,530.932490,79.506402,529.224690,NaN,NaN,NaN,NaN
76.976040,530.498676,80.124580,528.328078,NaN,NaN,NaN,NaN
77.963062,529.956409,80.495487,527.839018,NaN,NaN,NaN,NaN
78.374322,530.173316,80.928213,527.186937,NaN,NaN,NaN,NaN
79.196840,529.956409,81.484573,526.453345,NaN,NaN,NaN,NaN
79.690352,528.871874,82.040934,526.127305,NaN,NaN,NaN,NaN
80.430619,528.763421,82.164570,525.393714,NaN,NaN,NaN,NaN
81.253138,527.895793,82.720931,524.578612,NaN,NaN,NaN,NaN
81.838913,527.336796,83.153656,523.437470,NaN,NaN,NaN,NaN
82.127428,526.766162,83.586381,522.785389,NaN,NaN,NaN,NaN
83.065101,526.290635,84.080924,522.459349,NaN,NaN,NaN,NaN
83.714260,525.815107,84.699102,521.725757,NaN,NaN,NaN,NaN
84.435547,524.959157,85.379099,521.073676,NaN,NaN,NaN,NaN
84.940448,524.293418,85.626370,520.421595,NaN,NaN,NaN,NaN
85.517478,523.912996,85.935460,520.095555,NaN,NaN,NaN,NaN
86.022379,523.152152,86.491820,519.688004,NaN,NaN,NaN,NaN
87.392824,521.915780,86.615456,519.117433,NaN,NaN,NaN,NaN
88.114112,520.964724,86.862728,518.709882,NaN,NaN,NaN,NaN
88.835399,519.918563,87.728178,518.139311,NaN,NaN,NaN,NaN
89.989458,518.777297,88.593628,517.568740,NaN,NaN,NaN,NaN
90.710745,517.160502,88.902717,516.998170,NaN,NaN,NaN,NaN
91.143518,516.875186,89.520896,516.427599,NaN,NaN,NaN,NaN
91.864805,516.304553,90.139074,515.694007,NaN,NaN,NaN,NaN
92.369706,515.448603,90.633617,515.123436,NaN,NaN,NaN,NaN
92.730350,514.687758,91.066342,514.308335,NaN,NaN,NaN,NaN
93.163122,513.451386,91.437250,513.819274,NaN,NaN,NaN,NaN
93.379508,513.070964,91.746339,513.167193,NaN,NaN,NaN,NaN
93.740152,511.929698,91.931792,512.596622,NaN,NaN,NaN,NaN
94.100795,511.168853,92.426335,512.026051,NaN,NaN,NaN,NaN
94.389310,510.217798,92.920878,511.455480,NaN,NaN,NaN,NaN
94.894211,509.266742,93.353603,511.129440,NaN,NaN,NaN,NaN
94.677825,508.220581,93.477239,510.232828,NaN,NaN,NaN,NaN
94.749954,507.459737,93.539057,509.825277,NaN,NaN,NaN,NaN
95.326983,506.889104,94.033600,509.091686,NaN,NaN,NaN,NaN
95.471241,506.223365,94.775414,508.521115,NaN,NaN,NaN,NaN
95.543370,505.747837,95.702682,508.113565,NaN,NaN,NaN,NaN
95.615498,505.082098,96.073589,508.113565,NaN,NaN,NaN,NaN
95.759756,504.986993,96.197225,507.869034,NaN,NaN,NaN,NaN
96.048271,504.226149,96.691768,507.379973,NaN,NaN,NaN,NaN
96.264657,503.845726,97.371765,506.972423,NaN,NaN,NaN,NaN
96.481043,503.655515,98.175397,506.727892,NaN,NaN,NaN,NaN
96.985944,503.655515,98.793575,506.238831,NaN,NaN,NaN,NaN
97.274459,503.275093,99.473572,505.668261,NaN,NaN,NaN,NaN
97.274459,502.704460,99.782661,505.260710,NaN,NaN,NaN,NaN
97.779360,502.419143,99.815780,504.675061,NaN,NaN,NaN,NaN
98.572776,502.228932,100.538575,504.055583,NaN,NaN,NaN,NaN
98.861291,502.038721,100.863832,503.864974,NaN,NaN,NaN,NaN
99.077677,501.943616,101.839606,503.245496,NaN,NaN,NaN,NaN
98.933419,501.848510,102.453981,502.673670,NaN,NaN,NaN,NaN
99.871093,501.753404,102.851518,502.340105,NaN,NaN,NaN,NaN
100.303865,501.943616,103.321335,501.339409,NaN,NaN,NaN,NaN
101.097281,502.038721,103.863431,500.529322,NaN,NaN,NaN,NaN
102.034954,501.563193,104.044130,499.957496,NaN,NaN,NaN,NaN
102.107083,501.372982,104.622366,499.052105,NaN,NaN,NaN,NaN
103.044756,500.897455,105.092183,498.766192,NaN,NaN,NaN,NaN
103.477528,500.707243,105.742698,498.384975,NaN,NaN,NaN,NaN
104.270944,500.517032,106.176375,497.670192,NaN,NaN,NaN,NaN
104.775845,499.851294,106.465493,497.050714,NaN,NaN,NaN,NaN
105.425004,499.946399,106.646192,496.574192,NaN,NaN,NaN,NaN
106.362677,499.756188,107.489895,496.237563,NaN,NaN,NaN,NaN
107.083964,499.185555,107.964643,495.756040,NaN,NaN,NaN,NaN
108.093766,498.710027,108.329833,495.418974,NaN,NaN,NaN,NaN
108.815054,498.424710,108.621986,494.937451,NaN,NaN,NaN,NaN
109.608469,498.329605,109.133252,494.600385,NaN,NaN,NaN,NaN
110.185499,497.758972,109.388885,494.022557,NaN,NaN,NaN,NaN
110.618271,497.188338,109.790595,493.589187,NaN,NaN,NaN,NaN
111.411687,496.427494,109.928895,493.216233,NaN,NaN,NaN,NaN
112.496627,495.961517,110.283141,492.749141,NaN,NaN,NaN,NaN
112.210000,495.570000,110.687993,492.482231,NaN,NaN,NaN,NaN
113.592986,495.016313,110.991632,492.282049,NaN,NaN,NaN,NaN
114.141165,494.404710,111.345878,492.015139,NaN,NaN,NaN,NaN
115.111021,493.737507,111.649517,491.881684,NaN,NaN,NaN,NaN
115.364027,492.959103,111.902550,491.814957,NaN,NaN,NaN,NaN
116.249547,492.625501,112.712255,491.814957,NaN,NaN,NaN,NaN
116.418218,491.847097,113.572566,491.614775,NaN,NaN,NaN,NaN
116.671224,490.735092,114.078631,491.281138,NaN,NaN,NaN,NaN
116.924229,489.956688,114.584697,490.680591,NaN,NaN,NaN,NaN
117.388073,489.233885,115.495615,490.080044,NaN,NaN,NaN,NaN
117.598912,488.399881,115.849860,489.546225,NaN,NaN,NaN,NaN
117.851917,487.454676,116.507746,489.145860,NaN,NaN,NaN,NaN
118.610935,486.954273,117.216237,488.812223,NaN,NaN,NaN,NaN
118.779605,486.620672,117.368057,488.545313,NaN,NaN,NaN,NaN
119.454288,486.009069,117.722303,488.278404,NaN,NaN,NaN,NaN
120.002467,485.564267,118.329581,487.744584,NaN,NaN,NaN,NaN
120.255473,485.230665,118.734434,488.011494,NaN,NaN,NaN,NaN
120.887987,484.952664,119.291106,487.744584,NaN,NaN,NaN,NaN
121.140993,484.563462,119.948991,487.477675,NaN,NaN,NaN,NaN
121.900011,483.840658,120.758695,487.077310,NaN,NaN,NaN,NaN
122.110849,483.507057,121.315367,487.010583,NaN,NaN,NaN,NaN
122.363855,483.117855,121.770826,486.610218,NaN,NaN,NaN,NaN
122.996369,483.006654,122.175679,486.276581,NaN,NaN,NaN,NaN
123.122872,482.617452,122.833564,485.609307,NaN,NaN,NaN,NaN
123.151540,482.265203,123.187810,485.542580,NaN,NaN,NaN,NaN
123.151540,482.330213,123.896301,485.342397,NaN,NaN,NaN,NaN
123.496666,482.460232,124.452973,485.008760,NaN,NaN,NaN,NaN
123.841793,482.330213,124.857826,484.741851,NaN,NaN,NaN,NaN
124.137615,481.940155,125.414498,484.474941,NaN,NaN,NaN,NaN
124.630653,482.005165,125.971170,484.007849,NaN,NaN,NaN,NaN
124.778565,482.005165,126.730268,483.807667,NaN,NaN,NaN,NaN
125.271603,481.680116,127.135120,483.607485,NaN,NaN,NaN,NaN
125.764641,481.615107,127.691792,483.407302,NaN,NaN,NaN,NaN
