pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
273.735391,698.428401,269.923177,700.065854,270.165194,700.349615
273.735391,698.428401,269.923177,700.065854,270.165194,700.349615
273.777610,698.328061,269.923177,700.065854,270.165194,700.349615
273.798720,698.328061,269.923177,700.065854,270.165194,700.349615
273.798720,698.328061,269.923177,700.065854,270.165194,700.349615
273.798720,698.328061,269.923177,700.065854,270.165194,700.349615
273.798720,698.328061,269.923177,700.065854,270.165194,700.349615
273.798720,698.328061,269.923177,700.065854,270.165194,700.349615
274.263129,697.349752,270.530549,699.885416,270.645092,699.494206
276.162987,693.185666,272.352662,696.817975,272.804634,696.357708
277.600477,689.519553,274.022933,693.750533,274.484278,692.841029
279.498192,685.608380,275.996889,689.780903,276.323888,689.324349
281.096221,681.880959,277.970845,686.172149,278.403446,685.617579
283.021413,678.053389,279.792958,682.924269,279.763158,681.910809
284.465307,674.577779,281.311386,679.676390,281.602768,678.013948
285.666255,671.033049,283.437185,675.345885,283.682326,673.926996
287.268773,667.224444,285.259299,672.278443,285.441953,670.600408
288.460388,663.952950,287.536941,668.128375,287.361546,666.798592
289.816364,660.534971,289.055368,664.519621,288.881223,663.281913
291.336701,657.214649,290.725639,661.452179,290.640850,660.145415
292.374026,653.828775,292.092224,658.023863,292.480460,657.103962
293.742154,650.658517,294.066180,654.234670,294.080120,653.587283
295.315501,647.081816,295.584608,650.806353,295.679781,650.260694
296.546817,644.155424,297.558564,647.197599,297.279442,647.219242
298.051757,640.660012,299.076992,643.769282,298.959085,643.702562
299.556698,637.733620,300.747263,640.160527,NaN,NaN
301.105646,634.386867,302.265691,637.453961,NaN,NaN
302.587315,631.010218,304.395238,633.903775,NaN,NaN
304.306080,627.603545,305.790614,630.603792,NaN,NaN
305.877522,624.300106,307.604602,627.157143,NaN,NaN
307.596286,621.306364,309.209284,623.930493,NaN,NaN
309.413266,617.744843,310.395353,620.850509,NaN,NaN
311.132030,614.286555,311.790729,617.990524,NaN,NaN
312.705179,611.090746,313.534948,614.617208,NaN,NaN
314.578447,607.831770,315.418705,611.243892,NaN,NaN
316.387120,604.640688,316.744312,607.797243,NaN,NaN
317.937411,601.178026,318.724329,604.295935,NaN,NaN
319.523779,597.780878,320.310000,600.920000,NaN,NaN
321.298151,594.644260,321.431442,598.046200,NaN,NaN
322.991869,591.338095,323.141238,594.652369,NaN,NaN
324.927546,588.031930,324.815770,591.113432,NaN,NaN
326.540611,584.725765,326.205179,588.150932,NaN,NaN
328.153676,581.673921,327.912166,584.896355,NaN,NaN
329.686088,578.706850,329.539759,581.892130,NaN,NaN
331.541112,575.655005,331.326141,578.846179,NaN,NaN
333.154177,572.603161,332.668025,576.054897,NaN,NaN
334.928548,569.636090,334.373365,572.990373,NaN,NaN
336.326100,566.876055,335.748639,570.099312,NaN,NaN
337.786291,563.753559,337.233934,567.150429,NaN,NaN
339.533359,560.849668,338.994285,563.681156,NaN,NaN
341.214113,557.798241,340.699625,560.790095,NaN,NaN
342.640206,554.586213,342.294942,557.552106,NaN,NaN
344.270028,551.534786,343.780238,554.603224,NaN,NaN
345.645189,548.751028,345.227986,551.902095,NaN,NaN
347.275011,545.967271,346.763916,549.290575,NaN,NaN
348.599240,542.969378,348.345021,546.299196,NaN,NaN
350.330926,540.132086,349.807192,543.074326,NaN,NaN
351.909815,537.134194,351.426989,540.039356,NaN,NaN
353.176206,534.330238,352.624229,537.818646,NaN,NaN
354.821199,531.201521,354.244025,534.857699,NaN,NaN
356.590000,528.120000,355.652544,532.192847,NaN,NaN
357.433110,525.941663,357.272340,529.527995,NaN,NaN
358.924985,523.082208,358.892136,526.863143,NaN,NaN
360.153588,520.499474,360.089376,523.828173,NaN,NaN
361.382191,517.640019,361.568321,521.015273,NaN,NaN
362.961823,514.965045,363.047265,518.498469,NaN,NaN
364.365940,512.290072,364.314932,515.759593,NaN,NaN
365.682301,509.338376,365.967071,513.030720,NaN,NaN
367.086418,506.847883,367.504165,510.107223,NaN,NaN
368.315021,504.265150,368.894869,507.414527,NaN,NaN
369.982410,501.497935,370.285573,504.875700,NaN,NaN
370.859984,498.822962,371.676277,502.029137,NaN,NaN
372.615131,496.332469,373.271297,499.369469,NaN,NaN
373.843734,493.749735,374.640608,496.650861,NaN,NaN
375.398904,491.381690,376.314211,494.358701,NaN,NaN
376.554203,488.633496,377.582092,491.746705,NaN,NaN
377.952723,485.885303,379.002118,489.241321,NaN,NaN
379.290438,483.328844,380.168568,486.629325,NaN,NaN
380.736355,480.789394,381.982112,483.965171,NaN,NaN
382.116051,478.204293,383.345964,481.472084,NaN,NaN
383.160000,475.860000,384.591220,478.854342,NaN,NaN
384.875739,473.159353,386.014371,476.485909,NaN,NaN
385.999222,470.561423,387.432114,473.687323,NaN,NaN
387.347403,468.120942,388.764812,471.508332,NaN,NaN
388.620685,465.523012,390.208569,469.251520,NaN,NaN
390.343360,462.925081,391.059967,466.419960,NaN,NaN
391.616641,460.405876,392.445064,463.872211,NaN,NaN
392.889923,458.044121,393.657025,461.233472,NaN,NaN
394.387901,455.682365,394.868985,458.867706,NaN,NaN
395.736082,453.005710,396.600357,456.592931,NaN,NaN
397.308959,450.407779,397.725749,454.318155,NaN,NaN
398.582240,448.282199,399.110847,451.861398,NaN,NaN
399.855522,445.920444,400.694839,449.221006,NaN,NaN
401.278602,443.401239,402.040000,446.880000,NaN,NaN
402.495125,440.803596,403.320994,444.642924,NaN,NaN
403.974157,438.717173,404.520000,442.180000,NaN,NaN
405.359635,436.864198,405.754992,440.468791,NaN,NaN
406.724898,434.568184,406.950000,438.090000,NaN,NaN
408.226688,431.841668,408.381147,435.688735,NaN,NaN
409.591951,429.545654,409.520000,433.200000,NaN,NaN
411.093741,427.536642,411.071355,431.110653,NaN,NaN
412.459004,425.097127,412.180000,428.810000,NaN,NaN
