pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
73.990130,815.326938,71.372814,816.007005,71.522881,816.085057
73.990130,815.326938,71.372814,816.007005,71.724421,816.085057
73.990130,815.218496,71.372814,816.007005,71.724421,816.085057
74.222626,814.134075,71.497726,815.657431,71.724421,815.662041
75.540104,812.399001,71.997376,814.259133,72.631352,814.251989
76.857582,809.796391,73.496327,812.686049,74.142904,812.136910
77.555071,807.519107,75.370016,810.413815,75.452916,810.303842
79.027546,805.024939,76.391515,807.885239,76.964468,807.765747
79.725034,802.639213,77.691220,805.630117,78.173709,805.227653
81.042512,800.253487,79.042913,803.665979,79.282181,803.253579
81.740000,798.084646,80.342618,801.265366,80.692962,800.997495
82.514987,795.915804,81.811089,799.028720,81.902204,798.741411
83.444972,793.963846,83.282426,796.848806,83.111445,796.908343
84.374956,791.795005,84.572075,795.026561,84.421457,794.511254
85.537437,789.951489,86.108994,792.808783,85.933009,792.396175
86.622418,788.107974,87.357740,790.792620,87.243021,790.422102
87.474904,786.156016,88.798601,788.238814,88.553032,788.166018
88.559886,783.770290,89.951289,785.953830,89.963814,786.050939
89.678963,781.960233,91.200036,783.870462,91.173056,783.935860
90.694986,779.624588,92.496810,781.652683,92.281527,782.384803
91.783583,777.796691,93.649499,779.569316,NaN,NaN
93.081636,776.153037,95.186418,777.620358,NaN,NaN
94.421039,774.070597,96.723336,775.469785,NaN,NaN
95.313975,772.612889,98.260254,773.117596,NaN,NaN
96.355734,770.946937,99.701115,770.899817,NaN,NaN
97.992783,769.697474,101.190005,768.614833,NaN,NaN
99.332186,767.615034,102.294665,766.733081,NaN,NaN
99.927477,766.157326,103.255239,764.515302,NaN,NaN
101.713348,763.866642,104.359899,762.700756,NaN,NaN
103.052752,762.200690,105.368502,760.482977,NaN,NaN
103.945688,760.326495,106.425133,758.332404,NaN,NaN
105.582737,758.660543,107.865994,756.921090,NaN,NaN
107.070963,756.994591,109.179403,754.942898,NaN,NaN
108.559190,755.120395,110.218851,753.040892,NaN,NaN
110.196239,753.246199,111.538151,750.915121,NaN,NaN
111.535642,751.580248,113.017365,749.124998,NaN,NaN
112.577401,749.497808,114.386913,746.933319,NaN,NaN
113.916805,747.831856,115.360297,744.942656,NaN,NaN
115.256208,745.541172,116.857810,742.742450,NaN,NaN
116.744435,743.875220,117.831193,740.647016,NaN,NaN
118.976774,741.376293,119.178955,738.132494,NaN,NaN
120.465000,739.293853,120.152338,735.932288,NaN,NaN
121.953227,737.003169,121.200598,734.151169,NaN,NaN
123.143808,735.128973,122.248857,732.893908,NaN,NaN
124.483212,732.838290,123.147365,730.693702,NaN,NaN
126.120261,730.964094,124.420251,728.807811,NaN,NaN
127.459664,728.673410,125.693137,727.026692,NaN,NaN
128.203778,726.590970,126.891147,725.245572,NaN,NaN
129.394359,724.508530,128.089158,723.464453,NaN,NaN
131.031408,722.217847,129.062541,721.683334,NaN,NaN
132.073166,720.551895,130.056180,719.443057,NaN,NaN
134.523481,719.759750,131.053396,717.786042,NaN,NaN
135.948089,717.332977,132.237590,715.867394,NaN,NaN
137.200000,715.140000,133.140000,714.150000,NaN,NaN
138.611488,713.259465,134.110000,712.200000,NaN,NaN
139.664459,711.092704,135.727846,711.157984,NaN,NaN
141.089067,709.099283,137.180000,709.230000,NaN,NaN
142.575615,706.932522,138.781821,707.495109,NaN,NaN
144.186042,704.852431,140.402297,705.750883,NaN,NaN
145.108095,702.454034,141.337187,703.745024,NaN,NaN
146.094143,700.181501,142.210000,702.200000,NaN,NaN
146.848179,697.990129,144.017205,700.256572,NaN,NaN
147.660218,695.879919,145.320000,698.130000,NaN,NaN
148.530260,693.688548,146.572571,696.593697,NaN,NaN
149.458304,691.659500,148.170000,695.230000,NaN,NaN
150.502354,689.955100,148.629329,693.018034,NaN,NaN
152.010426,687.844890,150.160000,691.230000,NaN,NaN
153.112479,686.465138,151.160000,689.220000,NaN,NaN
154.214532,684.760737,152.029342,687.985398,NaN,NaN
155.587562,682.757283,153.643378,686.178611,NaN,NaN
156.456623,681.085206,154.888493,683.984656,NaN,NaN
156.999786,679.261123,156.271953,682.694094,NaN,NaN
158.412009,677.285033,157.148144,681.145419,NaN,NaN
159.063804,675.308942,158.485489,679.532217,NaN,NaN
159.932864,674.244894,159.915064,677.531846,NaN,NaN
161.019190,672.116797,161.206294,676.176756,NaN,NaN
162.105515,670.748734,162.497523,673.982800,NaN,NaN
162.648678,669.532678,163.558176,671.982429,NaN,NaN
163.083208,668.012609,164.987752,670.240171,NaN,NaN
163.952269,666.492540,165.971467,668.451873,NaN,NaN
165.038594,664.820463,167.115966,666.850403,NaN,NaN
166.016287,663.300394,168.395111,664.966321,NaN,NaN
166.993980,662.388352,169.539610,663.553260,NaN,NaN
168.297571,660.868283,170.953402,661.857586,NaN,NaN
169.383896,659.044199,172.097901,660.161912,NaN,NaN
170.470222,657.980151,173.309723,658.089421,NaN,NaN
171.447915,656.308074,174.386899,656.299543,NaN,NaN
172.624982,654.289848,175.329427,654.603869,NaN,NaN
173.710082,653.530670,176.473926,653.567624,NaN,NaN
175.337732,652.581699,177.887718,651.400930,NaN,NaN
176.829745,650.493960,178.762923,649.516847,NaN,NaN
177.914846,649.165400,180.042069,648.197990,NaN,NaN
179.271221,647.647045,181.119244,647.161745,NaN,NaN
180.627596,645.938895,182.263743,645.371867,NaN,NaN
181.848334,644.610335,183.408241,643.770397,NaN,NaN
183.069072,643.281774,184.418093,642.263131,NaN,NaN
184.018535,641.763419,185.427945,640.661661,NaN,NaN
185.103635,640.814447,186.707090,639.154396,NaN,NaN
186.460010,639.296092,188.390177,637.647130,NaN,NaN
187.816385,637.398148,189.601999,635.763048,NaN,NaN
189.308398,635.879793,190.813821,633.973170,NaN,NaN
190.393499,633.792055,192.025643,632.560108,NaN,NaN
191.614236,632.463495,193.304789,630.864434,NaN,NaN
192.791455,631.267400,194.516611,629.357168,NaN,NaN
194.146300,629.529580,195.876325,627.321964,NaN,NaN
195.501146,628.107728,197.200260,625.998713,NaN,NaN
196.855991,626.527892,198.051362,624.410812,NaN,NaN
198.662452,625.264023,199.186164,622.822910,NaN,NaN
199.791490,623.526204,200.320965,621.102684,NaN,NaN
200.920528,622.420318,201.455767,619.647108,NaN,NaN
202.049566,620.524515,202.212302,618.456182,NaN,NaN
203.178604,619.418630,203.347104,616.735955,NaN,NaN
204.194738,617.680811,204.292772,615.148054,NaN,NaN
205.549583,616.416942,205.443893,613.372162,NaN,NaN
206.904429,614.837106,206.467211,611.940257,NaN,NaN
207.468948,613.731221,207.411813,610.728644,NaN,NaN
209.727024,611.677434,208.435131,609.627179,NaN,NaN
211.420581,610.097598,209.852034,608.085127,NaN,NaN
212.549619,608.043811,210.954069,606.543075,NaN,NaN
213.791560,606.463975,212.213538,605.111170,NaN,NaN
214.807694,605.358090,213.236856,603.789411,NaN,NaN
216.162540,603.778254,214.338892,602.577799,NaN,NaN
217.227216,602.451705,215.204776,601.256041,NaN,NaN
218.313212,600.932097,216.306812,599.824136,NaN,NaN
219.482745,599.295596,217.487564,598.722670,NaN,NaN
220.986431,597.191524,218.163692,596.872434,NaN,NaN
222.406579,596.022595,219.527223,595.575024,NaN,NaN
