pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
225.569907,744.137356,221.431622,746.597988,NaN,NaN
225.629882,744.113921,221.491597,746.551119,NaN,NaN
225.689858,743.973314,221.471605,746.551119,221.872472,746.449349
225.749833,743.973314,221.511588,746.551119,221.872472,746.290788
225.929758,743.785837,221.53158,746.527684,221.994745,746.290788
226.220384,743.397934,221.485598,746.449069,222.117017,746.132227
226.30636,742.371321,222.007238,745.537516,222.606108,745.339422
227.080149,740.598081,222.515509,744.457734,223.339745,744.070933
227.724973,739.384812,223.173501,743.274289,223.58429,742.802445
227.755906,737.70776,223.986241,741.803893,224.440199,741.375395
228.361068,736.147866,224.770386,740.321765,225.173836,739.789784
228.83175,734.365129,225.334908,739.717024,226.27429,738.204174
228.96623,732.730954,225.797789,738.377126,227.1302,736.935685
229.638633,731.17106,227.263577,737.037228,228.108381,735.032952
229.974834,729.536885,228.189338,735.864817,229.086563,733.764464
230.445515,728.199832,229.269393,734.441176,229.8202,732.337414
230.512756,727.085622,229.963713,732.68256,230.431563,731.068926
230.647236,726.045693,231.352355,730.8402,231.532018,729.641876
230.983437,724.63436,232.43241,729.249071,232.143382,728.214826
231.386879,723.074465,233.349852,728.37224,232.999291,727.104899
231.65584,721.737413,234.261148,726.723537,233.610655,725.677849
232.059281,720.623202,234.915764,725.477133,234.466564,724.092239
232.664443,719.360431,236.030053,723.542188,235.322473,722.82375
232.935136,717.929248,237.22844,722.135671,236.056109,721.713823
233.418209,716.618297,237.664344,720.45451,236.912018,720.128212
234.345449,715.349274,238.727854,719.494281,237.767928,718.859723
234.950611,714.90359,239.23713,717.735951,238.501564,717.908357
235.891975,713.86366,239.765386,716.418542,239.357473,716.005624
235.757494,713.120853,240.557769,714.881564,240.213382,715.054258
236.564377,712.080924,241.579502,713.799824,240.947019,713.785769
237.102299,711.338117,242.443324,712.635798,241.558382,712.35872
237.976422,710.892433,242.848923,711.275038,242.414292,710.93167
238.716065,709.629661,243.438029,709.699235,243.392473,709.663181
239.657428,708.589731,244.023791,708.533531,244.370655,708.711815
240.800512,707.921205,245.045226,707.314127,NaN,NaN
241.607395,707.104118,245.542252,706.279699,NaN,NaN
242.481518,706.806995,245.973052,705.157368,NaN,NaN
243.691842,705.618504,246.893197,703.561853,NaN,NaN
244.767686,704.430013,247.730814,702.349531,NaN,NaN
245.97801,703.538645,248.543165,701.385986,NaN,NaN
247.053854,702.424434,249.420731,700.303787,NaN,NaN
248.129698,701.384505,250.453068,698.750449,NaN,NaN
248.936581,700.641698,251.639691,697.576012,NaN,NaN
249.945185,699.453207,252.477308,696.477345,NaN,NaN
250.490961,699.13082,253.10552,695.530218,NaN,NaN
251.47535,697.992077,254.207975,694.202156,NaN,NaN
253.090447,696.61961,255.095498,693.209546,NaN,NaN
255.202497,695.109897,255.848548,692.129353,NaN,NaN
256.693356,694.14917,257.005017,690.494466,NaN,NaN
257.8115,693.462936,257.758066,689.560245,NaN,NaN
259.799311,691.815976,258.5918,688.480052,NaN,NaN
260.793217,690.580755,259.84222,687.1607,NaN,NaN
262.550302,690.067624,260.617877,686.58764,NaN,NaN
264.104285,688.382194,261.394192,685.365727,NaN,NaN
265.172554,687.523983,262.286955,684.228083,NaN,NaN
266.511396,686.178309,263.06327,683.17471,NaN,NaN
267.509013,684.400996,263.494927,681.70768,NaN,NaN
267.999035,683.169433,264.43146,680.623288,NaN,NaN
269.554244,682.461755,265.243123,679.471122,NaN,NaN
270.668687,680.848768,265.929914,678.454505,NaN,NaN
271.783131,679.302988,266.242092,677.573437,NaN,NaN
