pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
201.860605,705.914009,197.651579,707.845522,198.297105,707.596452
201.814451,705.914009,197.651579,707.845522,198.297105,707.596452
201.814451,705.914009,197.651579,707.726011,198.297105,707.596452
201.814451,705.914009,197.651579,707.726011,198.297105,707.596452
201.814451,705.914009,197.651579,707.726011,198.297105,707.596452
201.814451,705.914009,197.651579,707.726011,198.297105,707.596452
201.814451,705.914009,197.651579,707.726011,198.297105,707.596452
202.162121,704.974291,198.436790,706.769920,198.850421,706.771132
204.057094,701.793803,200.455904,704.618714,200.842358,704.177269
206.013194,698.531763,202.362846,701.869951,202.944959,701.347601
207.847039,695.759030,204.381960,699.121188,204.715570,698.635835
209.476004,692.981417,205.728036,696.611448,206.707508,695.924070
211.137546,689.883496,207.410631,694.221220,208.256793,693.330207
212.937549,686.982269,209.205399,691.591968,209.916741,690.500539
213.947293,684.571776,211.224513,688.962717,212.267863,687.154999
215.676113,681.747497,213.131454,686.213954,213.789953,685.077008
217.232051,678.861821,215.038395,682.987145,215.671227,682.365242
218.615108,676.528721,217.169682,680.357894,217.109849,680.125088
219.710028,673.827237,218.852278,677.848154,219.101786,677.177517
221.208339,671.064356,220.759219,675.218903,220.761734,674.583654
222.649022,668.792653,222.778333,672.470140,222.532345,671.989792
223.881349,666.230108,224.573101,669.960400,224.380701,668.772863
225.104549,664.083624,226.031350,667.331148,225.976051,666.569524
226.615561,661.783820,227.938291,664.821408,227.748661,664.429139
228.126572,659.100715,229.284367,662.311668,229.284923,661.973990
229.746747,656.980488,230.966962,659.921440,231.175708,659.833605
231.154045,654.342898,232.986076,657.531211,232.948318,657.315504
232.714447,651.899128,235.039577,655.337162,NaN,NaN
234.410535,649.545868,236.746067,652.668112,NaN,NaN
236.038781,646.830568,238.438544,650.139229,NaN,NaN
237.599183,644.296288,239.550000,647.800000,NaN,NaN
239.227428,641.943028,241.620401,645.171779,NaN,NaN
240.380769,639.680278,243.450000,642.830000,NaN,NaN
242.348232,637.145997,244.666860,640.384964,NaN,NaN
243.976477,634.883247,246.420000,637.850000,NaN,NaN
245.943940,632.439477,247.713318,635.327198,NaN,NaN
247.436499,630.267237,249.360000,632.880000,NaN,NaN
249.064744,627.642447,250.759777,630.359748,NaN,NaN
250.828676,625.560717,252.320000,627.870000,NaN,NaN
252.524765,623.026437,254.280129,625.934202,NaN,NaN
253.959006,620.856510,255.320000,623.850000,NaN,NaN
255.699197,618.624216,257.326588,621.237705,NaN,NaN
257.439387,616.124046,258.290000,618.860000,NaN,NaN
259.179578,613.623877,260.034552,617.444380,NaN,NaN
261.120560,611.391582,261.934876,615.078240,NaN,NaN
262.659959,608.980705,263.587876,612.872974,NaN,NaN
264.266289,606.837702,265.203308,610.667709,NaN,NaN
266.274201,604.605408,266.631832,608.504251,NaN,NaN
267.947461,602.105238,268.312000,606.262741,NaN,NaN
269.553791,599.783652,269.498001,603.889377,NaN,NaN
271.470335,597.694890,270.832252,601.779721,NaN,NaN
272.820272,595.502430,272.512419,599.670064,NaN,NaN
