pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,167.487888,830.463404
NaN,NaN,NaN,NaN,167.577150,830.515139
NaN,NaN,NaN,NaN,167.755673,830.515139
NaN,NaN,NaN,NaN,167.934195,830.722078
NaN,NaN,NaN,NaN,167.934195,830.722078
171.045247,829.230824,166.575335,830.532952,167.934195,830.722078
171.045247,829.230824,166.976641,830.480152,167.934195,830.825547
171.045247,829.230824,166.929980,830.330821,167.934195,830.825547
171.045247,829.230824,166.841319,830.431887,167.934195,830.825547
171.045247,829.230824,166.752657,830.431887,167.934195,830.825547
171.306871,828.903869,166.929980,830.027623,168.335871,830.204731
172.418773,826.615186,168.251385,828.499587,169.407008,828.445750
173.923111,823.836071,169.560581,825.657906,170.924451,825.910750
175.296636,821.465650,170.697515,823.763453,172.352632,823.737892
176.670162,818.686535,172.006711,822.170390,173.646922,821.565034
178.174500,816.397852,173.384813,820.017602,174.807320,819.599115
179.155590,814.027430,175.141892,818.596761,176.547916,816.857176
180.332898,811.493532,176.726709,816.530085,177.976098,814.736052
181.641018,809.368326,178.104811,814.162018,179.315018,812.718399
182.425890,806.425734,179.724080,812.181453,181.205183,810.120277
183.079949,804.382267,182.313858,810.561933,182.768927,808.106220
183.603197,802.011846,184.426480,808.011260,184.202359,805.689352
184.715099,799.968379,186.109416,805.863325,185.375167,803.574592
185.630783,798.170128,188.078809,803.536396,186.852036,801.510184
186.481061,796.535355,190.048203,801.477959,188.719842,799.143667
187.854587,794.410149,191.826840,798.902397,190.165019,797.618007
189.489737,792.366682,193.396849,796.979578,191.544271,795.081992
190.078390,790.486693,195.249460,794.782072,192.828401,793.483200
191.383590,788.186736,196.662468,792.663047,194.207653,790.892054
193.038676,786.277461,197.725312,790.593172,195.539344,789.017608
194.502791,784.129526,198.900864,788.784313,196.680793,786.812378
195.712277,782.379357,200.743809,786.315881,198.155166,784.827670
196.483512,780.560011,202.093498,784.611037,200.152702,782.732701
197.805221,778.724727,203.646729,781.789230,201.436833,780.858255
199.420642,776.522387,204.811651,779.188741,203.053886,778.653025
200.606044,774.755302,206.008899,777.088421,204.718766,776.917334
201.832778,773.473400,207.734710,775.514603,205.953132,774.389509
203.930454,772.775991,209.460522,773.153876,207.105206,772.338632
205.638277,770.844968,211.100043,770.793148,208.668736,770.192365
207.346101,768.913946,212.304979,769.150024,NaN,NaN
208.322000,767.084556,213.941304,767.025694,NaN,NaN
210.273798,765.255166,214.815992,764.738709,NaN,NaN
211.168373,763.527409,216.107809,763.104263,NaN,NaN
213.038846,762.206183,218.125685,760.752947,NaN,NaN
214.177395,760.376793,219.451293,758.849031,NaN,NaN
215.641244,758.344138,220.566927,757.626426,NaN,NaN
216.600544,757.147014,222.138065,755.785719,NaN,NaN
218.035485,755.227885,222.923634,753.596771,NaN,NaN
219.306432,753.308756,224.407485,751.756064,NaN,NaN
221.110357,750.691762,225.847695,749.417870,NaN,NaN
222.176312,749.034333,227.462475,747.129424,NaN,NaN
223.924288,747.071221,228.815399,745.039973,NaN,NaN
225.169611,744.835531,229.595967,743.414709,NaN,NaN
226.181436,743.676284,231.501584,741.242474,NaN,NaN
